,user_id,session_id,session_timestamp,completed_seconds,year_of_birth,gender,handedness,total_session_count,total_musing_time,bird_count,recovery_count,seconds_calm,active_days,avg_sess_per_month
0,cfe39a3d5b754a55b8624638b271b9d3,af0c0022ec4f47b6b87b1dbd751ac9ce,1516049601,600,1975,male,right,49,20401,27,23,250.0,103.68939814814813,14.176955660401369
1,674f753444734faf894b5b9944fec854,669cb54ce55745b3a690aa9f84209a56,1529244775,900,1967,male,ambidextrous,37,39853,113,0,736.0,52.00265046296296,21.345065878720128
2,b25cea3393ec43fcbedf3982151558cd,15c85861f7604845be1a952bb740cc89,1516053703,600,1977,male,right,74,24389,27,5,312.0,168.90236111111108,13.143688373542574
3,9bb58746c6d648cfa05deea90377e60d,af551d17d8a34836a530c8510fae3b6c,1518640393,420,1977,female,right,62,40812,15,9,216.0,177.01128472222226,10.507804646007934
4,3ba3850dd4d244ce8083c88e825b9d6d,9e33dcbd95d740efa7c68bb73ceddf4a,1475915514,420,1966,male,right,72,29190,8,4,164.0,168.39424768518518,12.82704147969557
5,a9e10892c251473098d4ce61abe9691f,e6c435c74f5245bbb5bd5953da0def23,1508530046,420,1968,female,right,75,50957,2,31,55.0,44.20306712962963,50.9014452187597
6,f1c0ff5ee29641e9b44920d2f9483b2d,4ca68aa71aea46fca7f3ab4dbda68f65,1529578388,1500,1953,male,mostly_right,44,52775,47,79,445.0,47.04452546296297,28.05852513145668
7,fc664f0ee0da4839bfac79b84a91b4c8,9e41cbdb9766481aa9987e8ccaf88d81,1536223335,420,1974,male,mostly_right,51,19020,53,0,351.0,51.253622685185185,29.851548433907
8,92105598581b49558d115545aee7a1ad,12377e72a6f24c0185940462630839a7,1493935828,420,1963,female,right,71,30465,77,0,404.0,164.0957523148148,12.980226300517714
9,c125272d8daf44a5946331d3323bae18,9aea7ed27eb54323b9c8961edc373e6b,1520763078,900,1973,male,right,39,32580,13,61,234.0,61.954074074074065,18.884956598675245
10,897e771a99dd4031a0c4721a573529ae,fa6ffffd4d034a0088612137d9a82770,1506008715,420,1950,male,right,41,15899,33,10,245.0,152.2858101851852,8.076917990614323
11,c8a1dfa4f9904ceca495f008bb2ecd16,5e00df4230964d8ebe96a32f6a4e589d,1534399479,720,1957,male,right,89,33663,27,23,298.0,254.01266203703705,10.51128703029258
12,512fde8704084965b5415b0443af6d10,fb086d443168415fa2a1fc7abf8a3b41,1512036349,420,1956,male,right,47,16266,65,0,382.0,52.858148148148146,26.675168340141678
13,33a259653b49480c968ecceb554ca8ea,1c3c7150d4454f398e70a334e848713b,1536887288,900,1971,male,right,68,39229,167,1,872.0,164.9957986111111,12.3639511864675
14,356f9fac6e244b41bddb823b4d1a32c6,a4666149981944839e0776eb61053bd8,1515452074,420,1975,male,ambidextrous,97,38520,43,1,312.0,72.39049768518518,40.19864613523074
